1	1 
2	1 
3	1 
4	1 2 
5	2 
6	1 2 
7	2 
8	2 
9	1 2 
10	2 
11	1 
12	1 2 
13	1 
14	1 
15	1 
16	1 
17	1 
18	1 2 
19	1 
20	1 
21	1 
22	2 
23	1 
24	1 2 
25	1 
26	1 2 
27	1 2 
28	1 
29	1 
30	1 2 
31	1 
32	1 2 
33	2 
34	1 
35	1 
36	2 
37	1 
38	1 
39	1 2 
40	1 
41	1 
42	2 
43	1 2 
44	1 
45	1 
46	1 
47	1 2 
48	1 
49	2 
50	2 
51	2 
52	1 
53	1 
54	1 2 
55	1 
56	1 2 
57	2 
58	1 
59	1 2 
60	1 2 
61	1 
62	2 
63	2 
64	1 2 
65	2 
66	1 
67	1 2 
68	1 
69	1 
70	1 
71	2 
72	1 
73	1 
74	1 
75	1 2 
76	2 
77	1 
78	2 
79	1 2 
80	1 
81	2 
82	2 
83	2 
84	1 
85	1 2 
86	1 
87	2 
88	1 
89	1 
90	1 
91	1 
92	2 
93	2 
94	1 
95	2 
96	1 
97	1 
98	1 2 
99	1 2 
100	1 2 
101	1 
102	2 
103	2 
104	1 
105	2 
106	1 
107	1 
108	2 
109	1 
110	1 
111	1 2 
112	2 
113	1 
114	1 2 
115	1 
116	1 2 
117	2 
118	2 
119	1 
120	1 
121	1 
122	2 
123	1 2 
124	1 
125	1 2 
126	1 
127	2 
128	2 
129	2 
130	1 
131	1 
132	1 2 
133	1 
134	2 
135	1 
136	2 
137	1 
138	1 
139	2 
140	1 
141	1 2 
142	1 
143	2 
144	1 
145	2 
146	1 
147	2 
148	2 
149	1 
150	2 
151	1 2 
152	2 
153	2 
154	1 2 
155	2 
156	1 
157	1 2 
158	2 
159	1 
160	1 
161	1 
162	1 
163	1 2 
164	1 
165	1 
166	1 
167	2 
168	1 
169	1 
170	1 
171	1 
172	1 
173	1 2 
174	1 
175	2 
176	1 2 
177	2 
178	1 2 
179	1 2 
180	1 
181	1 2 
182	1 2 
183	1 
184	1 2 
185	2 
186	1 2 
187	2 
188	1 
189	1 
190	1 2 
191	2 
192	2 
193	1 
194	1 
195	1 
196	1 2 
197	1 
198	2 
199	2 
200	1 
201	1 
202	2 
203	2 
204	2 
205	2 
206	1 
207	1 
208	2 
209	2 
210	1 2 
211	2 
212	2 
213	1 
214	1 2 
215	2 
216	1 2 
217	1 
218	1 2 
219	2 
220	1 
221	1 
222	1 
223	1 2 
224	2 
225	2 
226	1 2 
227	2 
228	1 
229	1 
230	1 
231	2 
232	1 
233	1 
234	1 
235	1 
236	2 
237	1 
238	2 
239	1 
240	1 
241	1 2 
242	1 2 
243	2 
244	1 
245	1 
246	1 
247	1 2 
248	1 2 
249	1 
250	2 
251	1 2 
252	1 
253	1 
254	2 
255	2 
256	2 
257	2 
258	1 2 
259	1 
260	2 
261	1 
262	2 
263	1 
264	1 
265	1 
266	1 
267	1 2 
268	2 
269	2 
270	2 
271	1 2 
272	1 
273	1 
274	2 
275	1 2 
276	1 
277	1 
278	1 
279	1 
280	2 
281	2 
282	1 2 
283	1 
284	2 
285	2 
286	1 
287	2 
288	2 
289	1 
290	1 
291	1 
292	2 
293	2 
294	2 
295	2 
296	2 
297	2 
298	1 
299	1 2 
300	2 
301	1 
302	1 
303	2 
304	1 
305	1 2 
306	2 
307	1 2 
308	1 
309	1 
310	2 
311	1 
312	2 
313	1 
314	1 2 
315	1 2 
316	1 
317	1 2 
318	1 
319	1 2 
320	2 
321	2 
322	1 
323	1 2 
324	2 
325	1 
326	2 
327	2 
328	1 
329	1 
330	2 
331	2 
332	1 2 
333	2 
334	1 
335	2 
336	1 
337	1 2 
338	2 
339	2 
340	1 2 
341	1 
342	1 
343	1 
344	1 2 
345	1 
346	1 
347	1 
348	1 2 
349	1 2 
350	1 
351	2 
352	2 
353	1 
354	1 
355	1 
356	1 
357	2 
358	1 
359	1 
360	2 
361	1 
362	2 
363	2 
364	1 
365	1 
366	1 
367	1 
368	1 
369	1 
370	1 2 
371	2 
372	1 2 
373	2 
374	2 
375	1 2 
376	1 
377	2 
378	1 
379	1 
380	1 
381	1 
382	1 2 
383	2 
384	1 
385	2 
386	1 
387	1 2 
388	1 
389	1 
390	2 
391	1 
392	1 
393	1 2 
394	1 
395	2 
396	2 
397	1 
398	2 
399	2 
400	1 2 
401	1 2 
402	1 2 
403	1 2 
404	1 
405	1 
406	1 
407	1 
408	1 
409	1 
410	1 2 
411	1 2 
412	2 
413	1 
414	2 
415	1 
416	1 
417	1 
418	1 
419	1 
420	2 
421	1 
422	2 
423	2 
424	2 
425	2 
426	1 
427	2 
428	1 
429	1 
430	2 
431	2 
432	1 
433	1 
434	1 
435	1 2 
436	1 
437	1 
438	2 
439	2 
440	1 
441	1 
442	1 2 
443	1 2 
444	1 
445	2 
446	2 
